省,市,县,县代码,production_2020_POP,production_2025_POP,production_2030_POP,production_2035_POP,production_2040_POP,production_2045_POP,production_2050_POP
安徽省,阜阳市,界首市,341282.0,,,,,,,
安徽省,阜阳市,临泉县,341221.0,,,,,,,
安徽省,阜阳市,太和县,341222.0,,,,,,,
安徽省,阜阳市,颍东区,341203.0,,,,,,,
安徽省,阜阳市,颍泉区,341204.0,,,,,,,
安徽省,阜阳市,颍上县,341226.0,,,,,,,
安徽省,阜阳市,颍州区,341202.0,,,,,,,
安徽省,合肥市,包河区,340111.0,,,,,,,
安徽省,合肥市,巢湖市,340181.0,13035.0,6135.1,3612.0,2958.0,2328.0,3300.0,3300.0
安徽省,合肥市,肥东县,340122.0,,,,,,,
安徽省,合肥市,肥西县,340123.0,,,,,,,
安徽省,合肥市,庐江县,340124.0,2035.1,2035.1,2035.1,2035.1,2035.1,2035.1,1210.1
安徽省,合肥市,庐阳区,340103.0,,,,,,,
安徽省,合肥市,蜀山区,340104.0,,,,,,,
安徽省,合肥市,瑶海区,340102.0,,,,,,,
安徽省,合肥市,长丰县,340121.0,,,,,,,
安徽省,淮北市,杜集区,340602.0,4125.0,4125.0,4125.0,4125.0,4125.0,3300.0,3300.0
安徽省,淮北市,烈山区,340604.0,220.1,220.1,220.1,220.1,220.1,220.1,
安徽省,淮北市,濉溪县,340621.0,,,,,,,
安徽省,淮北市,相山区,340603.0,,,,,,,
安徽省,淮南市,八公山区,340405.0,1650.0,1650.0,1650.0,1650.0,1650.0,825.0,
安徽省,淮南市,大通区,340402.0,,,,,,,
安徽省,淮南市,凤台县,340421.0,,,,,,,
安徽省,淮南市,潘集区,340406.0,,,,,,,
安徽省,淮南市,寿县,340422.0,,,,,,,
安徽省,淮南市,田家庵区,340403.0,,,,,,,
安徽省,淮南市,谢家集区,340404.0,,,,,,,
安徽省,黄山市,黄山区,341003.0,,,,,,,
安徽省,黄山市,徽州区,341004.0,,,,,,,
安徽省,黄山市,祁门县,341024.0,,,,,,,
安徽省,黄山市,歙县,341021.0,,,,,,,
安徽省,黄山市,屯溪区,341002.0,,,,,,,
安徽省,黄山市,休宁县,341022.0,,,,,,,
安徽省,黄山市,黟县,341023.0,,,,,,,
安徽省,六安市,霍邱县,341522.0,471.9,471.9,471.9,471.9,471.9,471.9,471.9
安徽省,六安市,霍山县,341525.0,,,,,,,
安徽省,六安市,金安区,341502.0,,,,,,,
安徽省,六安市,金寨县,341524.0,,,,,,,
安徽省,六安市,舒城县,341523.0,,,,,,,
安徽省,六安市,叶集区,341504.0,,,,,,,
安徽省,六安市,裕安区,341503.0,,,,,,,
安徽省,马鞍山市,博望区,340506.0,,,,,,,
安徽省,马鞍山市,当涂县,340521.0,,,,,,,
安徽省,马鞍山市,含山县,340522.0,2805.0,275.0,210.0,168.0,,,
安徽省,马鞍山市,和县,340523.0,4455.0,3430.0,517.0,423.0,507.0,1485.0,1485.0
安徽省,马鞍山市,花山区,340503.0,,,,,,,
安徽省,马鞍山市,雨山区,340504.0,,,,,,,
安徽省,宿州市,砀山县,341321.0,,,,,,,
安徽省,宿州市,灵璧县,341323.0,,,,,,,
安徽省,宿州市,泗县,341324.0,,,,,,,
安徽省,宿州市,萧县,341322.0,1485.0,1485.0,1485.0,1485.0,1485.0,1485.0,1485.0
安徽省,宿州市,埇桥区,341302.0,3762.0,3762.0,3762.0,3762.0,3762.0,3762.0,3762.0
安徽省,铜陵市,枞阳县,340722.0,9900.0,574.0,442.0,,,,
安徽省,铜陵市,郊区,340711.0,6456.0,270.0,211.0,174.0,,,
安徽省,铜陵市,铜官区,340705.0,,,,,,,
安徽省,铜陵市,义安区,340706.0,5390.2,773.0,596.0,484.0,889.0,1650.0,
安徽省,芜湖市,繁昌区,340211.0,26070.0,391.8,156.0,126.0,108.0,,
安徽省,芜湖市,镜湖区,340202.0,,,,,,,
安徽省,芜湖市,鸠江区,340207.0,,,,,,,
安徽省,芜湖市,南陵县,340223.0,440.2,440.2,409.0,328.0,277.0,440.2,440.2
安徽省,芜湖市,湾沚区,340210.0,,,,,,,
安徽省,芜湖市,无为市,340281.0,5170.1,822.0,637.0,518.0,445.0,,
安徽省,芜湖市,弋江区,340209.0,2475.0,1370.0,1075.0,888.0,770.0,1650.0,
安徽省,宣城市,广德市,341882.0,5775.0,5775.0,4670.0,1015.0,293.0,1650.0,
安徽省,宣城市,绩溪县,341824.0,,,,,,,
安徽省,宣城市,泾县,341823.0,,,,,,,
安徽省,宣城市,旌德县,341825.0,,,,,,,
安徽省,宣城市,郎溪县,341821.0,825.0,825.0,174.0,137.0,,,
安徽省,宣城市,宁国市,341881.0,3960.0,3960.0,825.0,669.0,573.0,,
安徽省,宣城市,宣州区,341802.0,3520.1,2332.0,618.0,494.0,416.0,,
澳门特别行政区,澳门特别行政区,大堂区,820004.0,,,,,,,
澳门特别行政区,澳门特别行政区,风顺堂区,820005.0,,,,,,,
澳门特别行政区,澳门特别行政区,花地玛堂区,820001.0,,,,,,,
澳门特别行政区,澳门特别行政区,花王堂区,820002.0,,,,,,,
澳门特别行政区,澳门特别行政区,嘉模堂区,820006.0,,,,,,,
澳门特别行政区,澳门特别行政区,路凼填海区,820007.0,,,,,,,
澳门特别行政区,澳门特别行政区,圣方济各堂区,820008.0,,,,,,,
澳门特别行政区,澳门特别行政区,望德堂区,820003.0,,,,,,,
北京市,北京市,昌平区,110114.0,3036.0,3036.0,2637.0,2138.0,1655.2,1218.0,1221.0
北京市,北京市,朝阳区,110105.0,2563.1,2563.1,2563.1,2563.1,2563.1,2563.1,1738.1
北京市,北京市,大兴区,110115.0,2011.7,2011.7,2011.7,2011.7,2011.7,1980.0,1320.0
北京市,北京市,东城区,110101.0,,,,,,,
北京市,北京市,房山区,110111.0,8745.0,7217.0,4555.0,2843.3,2209.0,1539.0,
北京市,北京市,丰台区,110106.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0
北京市,北京市,海淀区,110108.0,3564.0,3564.0,3564.0,2965.0,2566.0,2256.0,2310.0
北京市,北京市,怀柔区,110116.0,,,,,,,
北京市,北京市,门头沟区,110109.0,,,,,,,
北京市,北京市,密云区,110118.0,,,,,,,
北京市,北京市,平谷区,110117.0,,,,,,,
北京市,北京市,石景山区,110107.0,,,,,,,
北京市,北京市,顺义区,110113.0,,,,,,,
北京市,北京市,通州区,110112.0,858.0,858.0,858.0,858.0,858.0,858.0,858.0
北京市,北京市,西城区,110102.0,9055.2,9055.2,4786.2,2599.9,1470.0,1174.0,1320.0
北京市,北京市,延庆区,110119.0,,,,,,,
福建省,福州市,仓山区,350104.0,,,,,,,
福建省,福州市,福清市,350181.0,,,,,,,
福建省,福州市,鼓楼区,350102.0,,,,,,,
福建省,福州市,晋安区,350111.0,,,,,,,
福建省,福州市,连江县,350122.0,,,,,,,
福建省,福州市,罗源县,350123.0,,,,,,,
福建省,福州市,马尾区,350105.0,,,,,,,
福建省,福州市,闽侯县,350121.0,,,,,,,
福建省,福州市,闽清县,350124.0,,,,,,,
福建省,福州市,平潭县,350128.0,,,,,,,
福建省,福州市,台江区,350103.0,,,,,,,
福建省,福州市,永泰县,350125.0,,,,,,,
福建省,福州市,长乐区,350112.0,,,,,,,
福建省,龙岩市,连城县,350825.0,,,,,,,
福建省,龙岩市,上杭县,350823.0,2756.4,281.0,215.0,172.0,,,
福建省,龙岩市,武平县,350824.0,3300.0,730.0,555.0,444.0,513.0,,
福建省,龙岩市,新罗区,350802.0,7425.0,1303.0,415.0,339.0,,,
福建省,龙岩市,永定区,350803.0,7260.0,7260.0,4846.0,3243.0,2794.0,2571.0,3465.0
福建省,龙岩市,漳平市,350881.0,5775.0,5775.0,5775.0,4681.0,3637.0,2834.0,1650.0
福建省,龙岩市,长汀县,350821.0,,,,,,,
福建省,南平市,光泽县,350723.0,,,,,,,
福建省,南平市,建瓯市,350783.0,,,,,,,
福建省,南平市,建阳区,350703.0,,,,,,,
福建省,南平市,浦城县,350722.0,,,,,,,
福建省,南平市,邵武市,350781.0,,,,,,,
福建省,南平市,顺昌县,350721.0,2475.0,2475.0,2475.0,2475.0,2351.0,2475.0,1650.0
福建省,南平市,松溪县,350724.0,,,,,,,
福建省,南平市,武夷山市,350782.0,,,,,,,
福建省,南平市,延平区,350702.0,,,,,,,
福建省,南平市,政和县,350725.0,,,,,,,
福建省,宁德市,福安市,350981.0,,,,,,,
福建省,宁德市,福鼎市,350982.0,,,,,,,
福建省,宁德市,古田县,350922.0,,,,,,,
福建省,宁德市,蕉城区,350902.0,,,,,,,
福建省,宁德市,屏南县,350923.0,,,,,,,
福建省,宁德市,寿宁县,350924.0,,,,,,,
福建省,宁德市,霞浦县,350921.0,,,,,,,
福建省,宁德市,柘荣县,350926.0,,,,,,,
福建省,宁德市,周宁县,350925.0,,,,,,,
福建省,莆田市,城厢区,350302.0,,,,,,,
福建省,莆田市,涵江区,350303.0,,,,,,,
福建省,莆田市,荔城区,350304.0,,,,,,,
福建省,莆田市,仙游县,350322.0,,,,,,,
福建省,莆田市,秀屿区,350305.0,,,,,,,
福建省,泉州市,安溪县,350524.0,1650.0,1650.0,1650.0,1650.0,1650.0,1650.0,1650.0
福建省,泉州市,德化县,350526.0,1650.0,1650.0,1650.0,1650.0,1650.0,1650.0,1650.0
福建省,泉州市,丰泽区,350503.0,,,,,,,
福建省,泉州市,惠安县,350521.0,,,,,,,
福建省,泉州市,晋江市,350582.0,,,,,,,
福建省,泉州市,鲤城区,350502.0,,,,,,,
福建省,泉州市,洛江区,350504.0,,,,,,,
福建省,泉州市,南安市,350583.0,,,,,,,
福建省,泉州市,泉港区,350505.0,,,,,,,
福建省,泉州市,石狮市,350581.0,,,,,,,
福建省,泉州市,永春县,350525.0,1650.0,1650.0,1650.0,1650.0,1650.0,1650.0,825.0
福建省,三明市,大田县,350425.0,3300.0,3300.0,3300.0,2815.0,2238.0,2640.0,2640.0
福建省,三明市,建宁县,350430.0,,,,,,,
福建省,三明市,将乐县,350428.0,3300.0,543.0,144.0,,,,
福建省,三明市,明溪县,350421.0,825.0,159.0,120.0,143.0,,,
福建省,三明市,宁化县,350424.0,,,,,,,
福建省,三明市,清流县,350423.0,1570.0,896.0,619.0,428.0,441.0,,
福建省,三明市,三元区,350403.0,1650.0,1650.0,923.0,301.0,256.0,,
福建省,三明市,沙县区,350427.0,,,,,,,
福建省,三明市,泰宁县,350429.0,,,,,,,
福建省,三明市,永安市,350481.0,5725.2,267.0,204.0,164.0,139.0,,
福建省,三明市,尤溪县,350426.0,,,,,,,
福建省,厦门市,海沧区,350205.0,,,,,,,
福建省,厦门市,湖里区,350206.0,,,,,,,
福建省,厦门市,集美区,350211.0,,,,,,,
福建省,厦门市,思明区,350203.0,,,,,,,
福建省,厦门市,同安区,350212.0,,,,,,,
福建省,厦门市,翔安区,350213.0,,,,,,,
福建省,漳州市,东山县,350626.0,,,,,,,
福建省,漳州市,华安县,350629.0,,,,,,,
福建省,漳州市,龙海区,350681.0,,,,,,,
福建省,漳州市,龙文区,350603.0,,,,,,,
福建省,漳州市,南靖县,350627.0,,,,,,,
福建省,漳州市,平和县,350628.0,,,,,,,
福建省,漳州市,芗城区,350602.0,,,,,,,
福建省,漳州市,云霄县,350622.0,,,,,,,
福建省,漳州市,漳浦县,350623.0,,,,,,,
福建省,漳州市,长泰区,350625.0,,,,,,,
福建省,漳州市,诏安县,350624.0,,,,,,,
甘肃省,白银市,白银区,620402.0,1239.0,921.0,718.0,589.0,834.0,899.0,1650.0
甘肃省,白银市,会宁县,620422.0,,,,,,,
甘肃省,白银市,景泰县,620423.0,242.0,178.0,137.0,112.0,,,
甘肃省,白银市,靖远县,620421.0,,,,,,,
甘肃省,白银市,平川区,620403.0,,,,,,,
甘肃省,定西市,安定区,621102.0,,,,,,,
甘肃省,定西市,临洮县,621124.0,990.0,990.0,990.0,990.0,990.0,990.0,990.0
甘肃省,定西市,陇西县,621122.0,,,,,,,
甘肃省,定西市,岷县,621126.0,,,,,,,
甘肃省,定西市,通渭县,621121.0,,,,,,,
甘肃省,定西市,渭源县,621123.0,,,,,,,
甘肃省,定西市,漳县,621125.0,1646.0,1126.0,852.0,530.0,396.0,,
甘肃省,甘南藏族自治州,迭部县,623024.0,,,,,,,
甘肃省,甘南藏族自治州,合作市,623001.0,,,,,,,
甘肃省,甘南藏族自治州,临潭县,623021.0,,,,,,,
甘肃省,甘南藏族自治州,碌曲县,623026.0,,,,,,,
甘肃省,甘南藏族自治州,玛曲县,623025.0,,,,,,,
甘肃省,甘南藏族自治州,夏河县,623027.0,825.0,825.0,825.0,732.0,558.0,741.0,825.0
甘肃省,甘南藏族自治州,舟曲县,623023.0,,,,,,,
甘肃省,甘南藏族自治州,卓尼县,623022.0,,,,,,,
甘肃省,嘉峪关市,嘉峪关市,620200.0,480.0,365.0,289.0,241.0,,,
甘肃省,金昌市,金川区,620302.0,,,,,,,
甘肃省,金昌市,永昌县,620321.0,784.0,525.0,400.0,323.0,274.0,241.0,
甘肃省,酒泉市,阿克塞哈萨克族自治县,620924.0,1868.0,1359.0,1055.0,863.0,762.2,667.0,825.0
甘肃省,酒泉市,敦煌市,620982.0,,,,,,,
甘肃省,酒泉市,瓜州县,620922.0,,,,,,,
甘肃省,酒泉市,金塔县,620921.0,,,,,,,
甘肃省,酒泉市,肃北蒙古族自治县,620923.0,,,,,,,
甘肃省,酒泉市,肃州区,620902.0,818.0,515.0,404.0,333.0,500.0,441.0,934.9
甘肃省,酒泉市,玉门市,620981.0,338.0,244.0,188.0,153.0,384.8,349.0,
甘肃省,兰州市,安宁区,620105.0,825.0,825.0,825.0,825.0,825.0,825.0,825.0
甘肃省,兰州市,城关区,620102.0,,,,,,,
甘肃省,兰州市,皋兰县,620122.0,,,,,,,
甘肃省,兰州市,红古区,620111.0,,,,,,,
甘肃省,兰州市,七里河区,620103.0,,,,,,,
甘肃省,兰州市,西固区,620104.0,,,,,,,
甘肃省,兰州市,永登县,620121.0,1457.1,496.0,322.0,265.0,,,
甘肃省,兰州市,榆中县,620123.0,4234.9,3117.0,1970.0,1472.0,1163.0,975.0,1650.0
甘肃省,临夏回族自治州,东乡族自治县,622926.0,,,,,,,
甘肃省,临夏回族自治州,广河县,622924.0,,,,,,,
甘肃省,临夏回族自治州,和政县,622925.0,,,,,,,
甘肃省,临夏回族自治州,积石山保安族东乡族撒拉族自治县,622927.0,,,,,,,
甘肃省,临夏回族自治州,康乐县,622922.0,,,,,,,
甘肃省,临夏回族自治州,临夏市,622901.0,,,,,,,
甘肃省,临夏回族自治州,临夏县,622921.0,,,,,,,
甘肃省,临夏回族自治州,永靖县,622923.0,,,,,,,
甘肃省,陇南市,成县,621221.0,898.0,657.0,506.0,411.0,,,
甘肃省,陇南市,宕昌县,621223.0,,,,,,,
甘肃省,陇南市,徽县,621227.0,,,,,,,
甘肃省,陇南市,康县,621224.0,,,,,,,
甘肃省,陇南市,礼县,621226.0,,,,,,,
甘肃省,陇南市,两当县,621228.0,,,,,,,
甘肃省,陇南市,文县,621222.0,526.0,366.0,247.0,215.0,,,
甘肃省,陇南市,武都区,621202.0,745.0,508.0,341.0,310.0,503.0,441.0,
甘肃省,陇南市,西和县,621225.0,,,,,,,
甘肃省,平凉市,崇信县,620823.0,264.0,264.0,264.0,264.0,264.0,,
甘肃省,平凉市,华亭市,620881.0,,,,,,,
甘肃省,平凉市,泾川县,620821.0,,,,,,,
甘肃省,平凉市,静宁县,620826.0,,,,,,,
甘肃省,平凉市,崆峒区,620802.0,3560.0,2574.0,1954.0,1503.0,977.0,1139.0,1650.0
甘肃省,平凉市,灵台县,620822.0,,,,,,,
甘肃省,平凉市,庄浪县,620825.0,,,,,,,
甘肃省,庆阳市,合水县,621024.0,,,,,,,
甘肃省,庆阳市,华池县,621023.0,,,,,,,
甘肃省,庆阳市,环县,621022.0,,,,,,,
甘肃省,庆阳市,宁县,621026.0,,,,,,,
甘肃省,庆阳市,庆城县,621021.0,,,,,,,
甘肃省,庆阳市,西峰区,621002.0,,,,,,,
甘肃省,庆阳市,镇原县,621027.0,,,,,,,
甘肃省,庆阳市,正宁县,621025.0,,,,,,,
甘肃省,天水市,甘谷县,620523.0,825.0,825.0,825.0,825.0,825.0,825.0,825.0
甘肃省,天水市,麦积区,620503.0,1188.0,1188.0,816.0,586.0,521.0,594.0,1188.0
甘肃省,天水市,秦安县,620522.0,,,,,,,
甘肃省,天水市,秦州区,620502.0,1206.0,892.0,692.0,565.0,658.0,733.0,825.0
甘肃省,天水市,清水县,620521.0,,,,,,,
甘肃省,天水市,武山县,620524.0,1650.0,788.0,539.0,440.0,378.0,,
甘肃省,天水市,张家川回族自治县,620525.0,,,,,,,
甘肃省,武威市,古浪县,620622.0,1650.0,1192.0,908.0,731.0,623.0,542.0,1650.0
甘肃省,武威市,凉州区,620602.0,,,,,,,
甘肃省,武威市,民勤县,620621.0,,,,,,,
甘肃省,武威市,天祝藏族自治县,620623.0,,,,,,,
甘肃省,张掖市,甘州区,620702.0,,,,,,,
甘肃省,张掖市,高台县,620724.0,,,,,,,
甘肃省,张掖市,临泽县,620723.0,,,,,,,
甘肃省,张掖市,民乐县,620722.0,,,,,,,
甘肃省,张掖市,山丹县,620725.0,825.0,671.0,486.0,376.0,311.0,266.0,825.0
甘肃省,张掖市,肃南裕固族自治县,620721.0,,,,,,,
广东省,潮州市,潮安区,445103.0,,,,,,,
广东省,潮州市,饶平县,445122.0,,,,,,,
广东省,潮州市,湘桥区,445102.0,,,,,,,
广东省,东莞市,东莞市,441900.0,,,,,,,
广东省,佛山市,禅城区,440604.0,,,,,,,
广东省,佛山市,高明区,440608.0,,,,,,,
广东省,佛山市,南海区,440605.0,,,,,,,
广东省,佛山市,三水区,440607.0,825.0,825.0,825.0,825.0,825.0,825.0,
广东省,佛山市,顺德区,440606.0,,,,,,,
广东省,广州市,白云区,440111.0,3630.0,3630.0,1980.0,1980.0,1980.0,1980.0,
广东省,广州市,从化区,440117.0,,,,,,,
广东省,广州市,番禺区,440113.0,,,,,,,
广东省,广州市,海珠区,440105.0,,,,,,,
广东省,广州市,花都区,440114.0,,,,,,,
广东省,广州市,黄埔区,440112.0,,,,,,,
广东省,广州市,荔湾区,440103.0,,,,,,,
广东省,广州市,南沙区,440115.0,,,,,,,
广东省,广州市,天河区,440106.0,,,,,,,
广东省,广州市,越秀区,440104.0,,,,,,,
广东省,广州市,增城区,440118.0,,,,,,,
广东省,河源市,东源县,441625.0,3234.0,3234.0,3234.0,3234.0,3234.0,3234.0,3234.0
广东省,河源市,和平县,441624.0,,,,,,,
广东省,河源市,连平县,441623.0,,,,,,,
广东省,河源市,龙川县,441622.0,,,,,,,
广东省,河源市,源城区,441602.0,,,,,,,
广东省,河源市,紫金县,441621.0,,,,,,,
广东省,惠州市,博罗县,441322.0,,,,,,,
广东省,惠州市,惠城区,441302.0,1023.0,1023.0,1023.0,1023.0,1023.0,825.0,
广东省,惠州市,惠东县,441323.0,,,,,,,
广东省,惠州市,惠阳区,441303.0,,,,,,,
广东省,惠州市,龙门县,441324.0,10890.0,10890.0,10890.0,10890.0,10890.0,10890.0,3300.0
广东省,江门市,恩平市,440785.0,1650.0,1650.0,1650.0,1650.0,1650.0,1650.0,1650.0
广东省,江门市,鹤山市,440784.0,,,,,,,
广东省,江门市,江海区,440704.0,,,,,,,
广东省,江门市,开平市,440783.0,,,,,,,
广东省,江门市,蓬江区,440703.0,,,,,,,
广东省,江门市,台山市,440781.0,,,,,,,
广东省,江门市,新会区,440705.0,,,,,,,
广东省,揭阳市,惠来县,445224.0,,,,,,,
广东省,揭阳市,揭东区,445203.0,,,,,,,
广东省,揭阳市,揭西县,445222.0,,,,,,,
广东省,揭阳市,普宁市,445281.0,,,,,,,
广东省,揭阳市,榕城区,445202.0,,,,,,,
广东省,茂名市,电白区,440904.0,,,,,,,
广东省,茂名市,高州市,440981.0,,,,,,,
广东省,茂名市,化州市,440982.0,,,,,,,
广东省,茂名市,茂南区,440902.0,1320.0,1320.0,1320.0,1320.0,1320.0,1320.0,1320.0
广东省,茂名市,信宜市,440983.0,,,,,,,
广东省,梅州市,大埔县,441422.0,,,,,,,
广东省,梅州市,丰顺县,441423.0,,,,,,,
广东省,梅州市,蕉岭县,441427.0,14850.0,14447.0,9295.0,7015.0,6021.0,5334.0,6600.0
广东省,梅州市,梅江区,441402.0,,,,,,,
广东省,梅州市,梅县区,441403.0,660.0,660.0,660.0,660.0,660.0,660.0,
广东省,梅州市,平远县,441426.0,1320.0,1320.0,1320.0,1320.0,1320.0,1320.0,1320.0
广东省,梅州市,五华县,441424.0,,,,,,,
广东省,梅州市,兴宁市,441481.0,,,,,,,
广东省,清远市,佛冈县,441821.0,,,,,,,
广东省,清远市,连南瑶族自治县,441826.0,,,,,,,
广东省,清远市,连山壮族瑶族自治县,441825.0,,,,,,,
广东省,清远市,连州市,441882.0,,,,,,,
广东省,清远市,清城区,441802.0,,,,,,,
广东省,清远市,清新区,441803.0,5775.0,5775.0,5775.0,5775.0,5775.0,5775.0,1650.0
广东省,清远市,阳山县,441823.0,,,,,,,
广东省,清远市,英德市,441881.0,20856.0,20856.0,14504.0,7762.0,3473.0,968.0,
广东省,汕头市,潮南区,440514.0,,,,,,,
广东省,汕头市,潮阳区,440513.0,,,,,,,
广东省,汕头市,澄海区,440515.0,,,,,,,
广东省,汕头市,濠江区,440512.0,,,,,,,
广东省,汕头市,金平区,440511.0,,,,,,,
广东省,汕头市,龙湖区,440507.0,,,,,,,
广东省,汕头市,南澳县,440523.0,,,,,,,
广东省,汕尾市,城区,441502.0,,,,,,,
广东省,汕尾市,海丰县,441521.0,,,,,,,
广东省,汕尾市,陆丰市,441581.0,,,,,,,
广东省,汕尾市,陆河县,441523.0,,,,,,,
广东省,韶关市,乐昌市,440281.0,825.0,825.0,710.0,577.0,494.0,430.0,
广东省,韶关市,南雄市,440282.0,1650.0,1113.2,827.0,662.0,556.0,479.0,1650.0
广东省,韶关市,曲江区,440205.0,,,,,,,
广东省,韶关市,仁化县,440224.0,,,,,,,
广东省,韶关市,乳源瑶族自治县,440232.0,,,,,,,
广东省,韶关市,始兴县,440222.0,,,,,,,
广东省,韶关市,翁源县,440229.0,1650.0,553.0,423.0,340.0,,,
广东省,韶关市,武江区,440203.0,,,,,,,
广东省,韶关市,新丰县,440233.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0
广东省,韶关市,浈江区,440204.0,,,,,,,
广东省,深圳市,宝安区,440306.0,,,,,,,
广东省,深圳市,福田区,440304.0,,,,,,,
广东省,深圳市,光明区,440311.0,,,,,,,
广东省,深圳市,龙岗区,440307.0,,,,,,,
广东省,深圳市,龙华区,440309.0,,,,,,,
广东省,深圳市,罗湖区,440303.0,,,,,,,
广东省,深圳市,南山区,440305.0,,,,,,,
广东省,深圳市,坪山区,440310.0,,,,,,,
广东省,深圳市,盐田区,440308.0,,,,,,,
广东省,阳江市,江城区,441702.0,,,,,,,
广东省,阳江市,阳春市,441781.0,8250.0,6119.0,2172.0,1766.0,1514.0,1081.0,3960.0
广东省,阳江市,阳东区,441704.0,,,,,,,
广东省,阳江市,阳西县,441721.0,,,,,,,
广东省,云浮市,罗定市,445381.0,3300.0,2505.0,1928.0,1559.0,1330.0,1156.0,1650.0
广东省,云浮市,新兴县,445321.0,,,,,,,
广东省,云浮市,郁南县,445322.0,,,,,,,
广东省,云浮市,云安区,445303.0,8250.0,8250.0,5446.0,3926.0,3796.0,3080.0,3300.0
广东省,云浮市,云城区,445302.0,825.0,825.0,825.0,825.0,,,
广东省,湛江市,赤坎区,440802.0,,,,,,,
广东省,湛江市,雷州市,440882.0,,,,,,,
广东省,湛江市,廉江市,440881.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0
广东省,湛江市,麻章区,440811.0,,,,,,,
广东省,湛江市,坡头区,440804.0,,,,,,,
广东省,湛江市,遂溪县,440823.0,,,,,,,
广东省,湛江市,吴川市,440883.0,,,,,,,
广东省,湛江市,霞山区,440803.0,,,,,,,
广东省,湛江市,徐闻县,440825.0,,,,,,,
广东省,肇庆市,德庆县,441226.0,2095.5,620.0,470.0,375.0,317.0,271.0,
广东省,肇庆市,鼎湖区,441203.0,,,,,,,
广东省,肇庆市,端州区,441202.0,,,,,,,
广东省,肇庆市,封开县,441225.0,9900.0,1556.0,1190.0,959.0,814.0,708.0,1650.0
广东省,肇庆市,高要区,441204.0,825.0,825.0,825.0,825.0,825.0,825.0,
广东省,肇庆市,广宁县,441223.0,,,,,,,
广东省,肇庆市,怀集县,441224.0,,,,,,,
广东省,肇庆市,四会市,441284.0,990.0,990.0,990.0,990.0,990.0,,
广东省,中山市,中山市,442000.0,,,,,,,
广东省,珠海市,斗门区,440403.0,,,,,,,
广东省,珠海市,金湾区,440404.0,,,,,,,
广东省,珠海市,香洲区,440402.0,,,,,,,
广西壮族自治区,百色市,德保县,451024.0,,,,,,,
广西壮族自治区,百色市,靖西市,451081.0,,,,,,,
广西壮族自治区,百色市,乐业县,451028.0,,,,,,,
广西壮族自治区,百色市,凌云县,451027.0,676.0,443.0,319.0,247.0,,,
广西壮族自治区,百色市,隆林各族自治县,451031.0,,,,,,,
广西壮族自治区,百色市,那坡县,451026.0,,,,,,,
广西壮族自治区,百色市,平果市,451082.0,,,,,,,
广西壮族自治区,百色市,田东县,451022.0,837.0,592.0,444.0,353.0,,,
广西壮族自治区,百色市,田林县,451029.0,,,,,,,
